"gr.income" "height" "age" "duration" "married" "gender" "german" "abitur"
"201" 2900 193 35 9.7 0 0 1 0
"202" 4750 187 47 24.3 1 0 1 1
"203" 1200 165 22 0.8 0 1 1 1
"204" 3000 190 23 0.5 0 0 1 0
"205" 1700 178 45 21.1 0 1 1 0
"206" 2050 181 42 13 1 0 1 1
"207" 1300 171 37 13.8 1 1 1 0
"208" 3500 170 50 20.5 0 1 1 1
"209" 1750 170 43 1.3 1 1 1 0
"210" 2150 184 30 0 0 0 1 1
"211" 325 155 67 9.9 1 1 0 0
"212" 3300 162 61 29.2 1 0 1 0
"213" 4100 175 37 8.5 0 0 1 1
"214" 16000 180 36 0 1 0 1 1
"215" 2000 170 30 3.2 0 1 1 1
"216" 4560 173 34 2.3 1 0 1 1
"217" 1636 179 40 2.1 0 1 1 1
"218" 2500 179 49 18.8 1 0 1 1
"219" 1250 165 44 0.3 1 1 1 0
"220" 2173 168 56 2.3 1 1 1 0
"221" 2546 189 34 11.8 0 0 1 0
"222" 700 173 29 8.3 1 1 1 1
"223" 4000 178 62 36.4 1 0 1 1
"224" 4650 173 36 1.1 1 0 1 1
"225" 4250 180 33 3.9 1 0 1 1
"226" 2700 168 29 8 1 1 1 1
"227" 4360 176 29 1.1 1 0 1 1
"228" 1322 167 44 23.5 1 1 1 1
"229" 3470 182 62 32.6 1 0 1 0
"230" 8000 189 53 21.2 1 0 1 1
"231" 3000 184 37 17 1 0 1 0
"232" 1600 169 35 0.8 1 1 1 0
"233" 2000 175 44 10.8 0 0 1 0
"234" 210 175 57 6.9 1 1 1 0
"235" 2100 173 23 1.5 0 1 1 1
"236" 6606 186 37 1.8 1 0 1 1
"237" 560 172 40 9.3 1 1 1 1
"238" 4500 190 49 18.2 1 0 1 1
"239" 2400 183 44 18.6 1 0 1 0
"240" 2620 172 49 1.9 1 1 1 0
"241" 4200 182 43 9.6 1 0 1 1
"242" 2100 172 33 1.8 1 1 1 1
"243" 3910 180 44 14.8 1 0 1 1
"244" 1033 164 38 2.5 1 1 1 0
"245" 2000 180 40 7.5 1 0 1 0
"246" 850 189 47 2.7 1 0 1 0
"247" 1670 167 43 0.8 1 1 1 0
"248" 2850 175 34 15 1 0 1 0
"249" 1815 174 39 11.8 1 1 1 1
"250" 3379 190 38 9.6 1 0 1 1
"251" 1800 157 55 0.3 1 1 1 0
"252" 2045 175 31 2.6 0 0 1 0
"253" 2200 169 36 8.1 1 1 1 0
"254" 1775 183 32 4.3 1 0 1 0
"255" 3300 182 51 25.1 1 0 1 1
"256" 796 164 50 13.4 1 1 1 0
"257" 7250 183 45 18.2 1 0 1 1
"258" 325 164 44 1.5 1 1 0 1
"259" 2000 162 32 0.3 0 1 1 1
"260" 920 172 44 4.8 0 1 1 1
"261" 2700 180 34 2.4 1 0 1 0
"262" 2000 169 33 12.1 1 1 1 0
"263" 1500 170 32 3.3 1 1 1 0
"264" 3200 175 47 25.8 0 0 1 0
"265" 4000 180 38 3.8 0 0 1 0
"266" 2812 178 34 15 1 0 1 0
"267" 2800 177 50 26.5 0 0 1 0
"268" 1400 170 24 2 0 1 1 0
"269" 2600 187 26 1.8 0 0 1 0
"270" 2300 178 38 0.2 1 0 1 0
"271" 2009 167 38 17 0 1 1 1
"272" 2200 190 31 11 1 0 1 0
"273" 2450 178 38 8.8 1 0 1 1
"274" 1040 178 37 15.5 1 1 1 0
"275" 2315 185 36 1.2 1 0 1 0
"276" 2200 185 21 1 0 0 1 0
"277" 3418 168 54 27 1 1 1 0
"278" 350 171 38 0.1 1 1 1 0
"279" 3300 192 33 2.8 1 0 1 1
"280" 3425 186 35 11.9 0 0 1 0
"281" 1982 169 33 5 1 1 1 1
"282" 1200 173 52 22.8 1 1 1 0
"283" 450 182 26 1.5 0 0 1 1
"284" 10987 187 52 11.6 1 0 1 1
"285" 904 172 45 3.2 1 1 1 1
"286" 4500 173 62 22.3 1 0 1 1
"287" 2652 162 47 28 0 1 1 0
"288" 3000 180 27 3.5 0 0 1 0
"289" 3400 170 51 26.4 1 0 1 0
"290" 1100 167 48 27.1 1 1 1 0
"291" 2300 162 54 11.8 1 1 1 0
"292" 2600 175 25 1.2 0 1 1 0
"293" 2400 172 53 33 1 0 1 0
"294" 1842 175 26 7.5 0 0 1 0
"295" 2300 172 26 1.2 0 0 1 1
"296" 3800 180 40 7 1 0 1 0
"297" 2625 164 49 9.9 1 1 1 0
"298" 1800 178 41 14.9 1 0 1 0
"299" 1700 165 35 1.3 1 1 1 0
"300" 2200 176 34 0.5 0 0 1 0
"301" 325 165 53 0.1 0 1 1 0
"302" 325 170 21 0.1 0 1 1 0
"303" 311 164 45 10.3 0 0 1 0
"304" 2300 179 48 1.5 1 0 1 0
"305" 1700 170 29 9 0 1 1 0
"306" 2731 155 45 22.3 1 1 1 0
"307" 2200 179 29 3.1 0 0 1 0
"308" 1700 199 30 1 0 0 1 1
"309" 1950 174 55 7.3 0 0 1 0
"310" 1791 168 23 1 0 1 1 0
"311" 1380 172 37 9 0 0 1 1
"312" 3310 160 57 22.1 1 1 1 0
"313" 3224 178 34 1.3 1 0 1 0
"314" 2150 182 61 17 1 0 1 0
"315" 1124 173 37 0.6 1 1 1 0
"316" 2858 186 40 9.8 1 0 1 0
"317" 1800 176 44 24 1 1 1 0
"318" 3500 187 51 21.3 1 0 1 0
"319" 960 163 52 34 1 1 1 0
"320" 1500 178 33 1.3 0 0 1 0
"321" 1600 167 29 3.2 0 1 1 0
"322" 1000 176 44 9.5 1 1 1 0
"323" 1350 163 25 2.4 0 1 1 0
"324" 1500 188 35 6.3 1 0 1 0
"325" 2400 172 41 2 0 1 1 0
"326" 325 163 57 23.2 1 1 1 0
"327" 1250 178 35 14 0 1 1 0
"328" 1600 180 31 11 0 0 1 0
"329" 1500 165 60 14.8 0 1 1 0
"330" 1878 178 26 3.4 1 1 1 0
"331" 1500 168 24 3.5 0 1 1 0
"332" 750 160 59 26.9 0 1 1 0
"333" 3400 170 37 4.3 0 0 1 1
"334" 2600 165 33 3.8 0 1 1 1
"335" 325 172 46 6 1 1 1 0
"336" 1949 155 54 11.8 1 1 1 0
"337" 984 155 36 1.2 0 1 1 0
"338" 8000 180 40 22 1 0 1 1
"339" 2000 175 47 23.6 0 0 1 0
"340" 2220 183 51 27.6 1 0 1 0
"341" 715 163 47 12.6 1 1 1 0
"342" 767 175 57 11.6 1 0 1 0
"343" 2000 162 33 11.6 0 1 1 0
"344" 1200 169 29 11.5 1 1 1 0
"345" 7300 178 36 14 1 0 1 0
"346" 1890 169 25 1.6 1 1 1 1
"347" 1800 173 33 4.5 1 0 1 0
"348" 1595 180 24 0.7 0 0 1 0
"349" 3000 192 52 36.8 0 0 1 0
"350" 3750 170 52 32.1 1 0 1 1
"351" 1450 172 25 1.5 0 0 1 0
"352" 3500 175 40 10 1 0 1 1
"353" 2100 175 37 14.3 1 1 1 0
"354" 1600 178 42 3.9 0 0 1 0
"355" 325 165 47 1.5 0 1 1 0
"356" 1400 181 22 3.3 0 0 1 0
"357" 9000 186 43 8.2 1 0 1 1
"358" 325 178 39 9.3 1 1 1 0
"359" 154 178 38 0.4 1 1 1 1
"360" 4960 175 41 0.8 1 0 1 0
"361" 5275 172 51 31 1 0 1 0
"362" 2981 169 36 15 1 0 1 0
"363" 1777 175 29 3.4 0 0 1 0
"364" 1017 172 26 0.1 0 1 1 1
"365" 7400 176 58 11.4 1 0 1 1
"366" 3400 186 31 1.1 0 0 1 1
"367" 325 168 60 3.7 1 1 1 0
"368" 2500 178 36 3.4 1 0 1 0
"369" 1320 156 36 12.6 1 1 1 0
"370" 2353 180 46 22.6 1 0 1 0
"371" 1500 165 46 14.6 1 1 1 0
"372" 4400 184 41 14.3 1 0 1 1
"373" 6138 182 41 16.7 1 0 1 1
"374" 1580 170 36 14.3 1 1 1 0
"375" 2241 175 59 19.1 1 0 1 0
"376" 2900 179 32 2.6 1 1 1 1
"377" 325 168 34 6.9 1 1 1 0
"378" 4700 178 36 6.5 1 0 1 1
"379" 3200 193 38 8.8 1 0 1 0
"380" 2100 170 35 2.4 1 1 1 0
"381" 2600 185 36 0.4 1 0 1 1
"382" 625 156 49 6.3 0 1 1 0
"383" 2369 178 28 1.3 0 0 1 1
"384" 1250 162 21 1.6 0 1 1 0
"385" 2536 187 38 13 0 0 1 0
"386" 716 175 29 0.7 0 1 1 0
"387" 5600 192 43 14.5 1 0 1 1
"388" 3000 180 36 4.8 0 0 1 0
"389" 1907 160 29 9 0 1 1 0
"390" 1863 160 36 3.5 0 1 1 0
"391" 3800 170 35 1.1 0 0 1 0
"392" 1700 189 53 0.8 0 0 1 0
"393" 2700 180 40 5.1 1 0 1 1
"394" 2400 180 39 11 0 0 1 0
"395" 3580 180 52 7.3 1 0 1 0
"396" 300 174 34 1.6 0 1 1 0
"397" 2700 159 29 3.8 0 1 1 1
"398" 6647 180 35 3.6 1 0 1 0
"399" 2400 176 48 1.2 1 0 1 0
"400" 1268 173 44 4.8 0 1 1 0
"401" 1820 178 25 7.5 0 0 1 0
"402" 2720 191 46 3.5 0 0 1 1
"403" 5000 188 52 12.2 1 0 1 1
"404" 1200 169 50 11.3 1 1 1 0
"405" 5550 192 28 2.6 1 0 1 0
"406" 6884 180 52 9.4 1 0 1 1
"407" 354 172 53 5.2 1 1 1 1
"408" 520 180 25 1.3 0 0 1 1
"409" 3400 184 47 4.8 1 0 1 1
"410" 3800 163 47 27 1 1 1 0
"411" 2380 168 31 7.6 0 1 1 1
"412" 3300 170 54 25.8 1 1 1 0
"413" 2700 178 61 23.8 1 0 1 0
"414" 2400 182 34 11.6 1 1 1 1
"415" 2250 184 35 1.3 1 0 1 0
"416" 1000 170 43 0.8 1 1 1 0
"417" 2604 178 40 21.3 1 0 1 0
"418" 1025 153 42 9.6 1 1 1 0
"419" 1750 156 42 3.1 1 1 1 0
"420" 1875 176 42 12.4 1 0 1 0
"421" 4195 175 44 25 1 0 1 0
"422" 2812 180 45 4.8 1 0 1 0
"423" 271 164 52 1.7 1 1 1 0
"424" 1900 178 34 8.3 1 0 1 0
"425" 1789 164 29 0.9 1 1 1 0
"426" 225 188 34 4.6 1 1 1 0
"427" 562 162 50 18.8 1 1 1 0
"428" 1995 178 32 2.2 1 0 1 0
"429" 302 156 33 0.3 1 1 1 0
"430" 5700 175 42 20.3 1 0 1 0
"431" 325 162 39 1.9 1 1 1 0
"432" 4950 186 35 10 1 0 1 1
"433" 1303 179 36 1.3 0 0 1 0
"434" 1227 165 22 1 0 1 1 0
"435" 2623 172 47 24 1 0 1 0
"436" 1719 172 43 10.7 1 1 1 0
"437" 322 168 65 4.2 1 0 1 0
"438" 2500 172 47 10.5 1 0 1 0
"439" 1895 172 51 14.6 1 0 1 0
"440" 2150 186 37 3.6 0 0 1 0
"441" 3600 183 35 13.8 1 0 1 0
"442" 1886 174 26 1.3 0 1 1 1
"443" 2700 183 30 9 0 0 1 0
"444" 2659 178 58 16.6 0 0 1 0
"445" 3500 183 33 0.8 0 0 1 1
"446" 224 163 37 1.5 1 1 1 0
"447" 2100 179 29 3.6 1 0 1 0
"448" 1870 186 48 25.3 1 0 1 0
"449" 1380 160 25 3 0 1 1 0
"450" 2761 175 29 6.8 0 0 1 0
"451" 3200 180 38 12 0 0 1 1
"452" 3323 172 46 0.1 1 0 1 1
"453" 4656 165 46 28 1 0 1 0
"454" 300 156 41 0.8 1 1 1 0
"455" 2731 158 60 33 1 1 1 0
"456" 1100 165 36 2.8 0 1 1 0
"457" 325 158 71 11.4 0 1 1 0
"458" 4346 187 42 2.3 1 0 1 1
"459" 2000 170 45 1.7 1 0 1 0
"460" 6200 178 46 12.5 1 0 1 1
"461" 4750 184 42 16.3 0 0 1 1
"462" 2550 168 32 0.3 0 1 1 1
"463" 1420 170 45 20.1 0 1 1 0
"464" 2184 158 26 2.5 0 1 1 0
"465" 3580 184 34 0.1 1 0 1 1
"466" 812 155 45 14.3 1 1 1 0
"467" 1900 165 48 4.3 0 1 1 0
"468" 1868 175 25 4.5 0 1 1 1
"469" 3000 172 48 7.4 1 1 1 1
"470" 3233 187 49 0.8 1 0 1 1
"471" 1994 188 46 3.3 0 0 1 1
"472" 5357 176 37 4.7 1 0 1 1
"473" 3800 181 45 5.8 1 0 1 0
"474" 651 155 54 5.4 1 1 1 0
"475" 2712 179 27 1.7 0 0 1 1
"476" 2700 163 53 11.8 0 1 1 0
"477" 1700 183 25 2.8 0 0 1 0
"478" 2300 156 46 1.3 1 1 1 0
"479" 2490 176 51 1.7 1 0 1 0
"480" 1300 164 44 1.5 1 1 1 0
"481" 2500 165 51 3.8 0 0 0 0
"482" 4100 186 41 2.4 1 0 1 1
"483" 4000 170 47 11.3 1 0 1 1
"484" 898 165 43 2.8 1 1 1 1
"485" 3250 176 55 30.6 1 0 1 0
"486" 4700 186 42 23 1 0 1 0
"487" 1994 173 56 15.9 0 0 1 0
"488" 2467 164 42 10.5 0 1 1 1
"489" 3000 182 47 28 1 0 1 0
"490" 320 170 46 2.8 1 1 1 0
"491" 2500 186 42 5.6 1 0 1 0
"492" 2347 159 43 22.3 0 1 1 0
"493" 971 175 44 0.1 1 1 1 0
"494" 3750 178 46 27 0 0 1 0
"495" 2091 158 53 14.8 1 1 1 0
"496" 2900 175 33 5 0 1 1 1
"497" 1998 169 31 1 0 1 1 1
"498" 2126 160 42 7.8 1 1 1 1
"499" 4652 186 40 7.2 1 0 1 1
"500" 3000 176 41 10.4 1 0 1 1
"501" 2500 188 45 9.8 1 0 1 0
"502" 3380 176 46 27.3 1 0 1 0
"503" 1980 165 44 9.3 1 1 1 0
"504" 2045 181 27 0.3 0 0 1 1
"505" 600 168 51 22.8 1 1 1 0
"506" 325 185 27 3 0 0 1 1
"507" 3196 190 32 1.2 0 0 1 1
"508" 3500 174 32 1.5 0 1 1 1
"509" 4715 165 54 34.8 0 1 1 0
"510" 1800 180 47 5.5 1 0 1 0
"511" 2100 180 33 1.6 1 0 1 0
"512" 5000 180 55 6.8 0 0 1 0
"513" 2500 178 41 0.4 0 1 1 0
"514" 1859 178 54 0.8 1 0 1 0
"515" 2300 187 31 2.3 1 0 1 0
"516" 1750 187 29 0.6 0 0 1 0
"517" 2990 174 34 14.7 1 1 1 0
"518" 2600 180 29 7.6 1 0 1 1
"519" 3500 184 36 16.2 0 0 1 0
"520" 2700 163 30 1.4 0 1 1 1
"521" 2596 166 39 20 0 1 1 0
"522" 1942 172 27 1.9 1 1 1 0
"523" 1000 173 50 1.8 1 1 1 0
"524" 2500 172 50 14.5 1 1 1 0
"525" 1900 188 29 2.4 0 0 1 0
"526" 2000 174 28 2.3 0 1 1 0
"527" 1650 170 31 2.5 0 0 1 0
"528" 3000 180 37 16.5 0 0 1 0
"529" 4386 168 60 22.5 1 0 1 1
"530" 1640 164 52 8.6 1 1 1 0
"531" 3400 179 41 4.4 1 0 1 1
"532" 3900 187 26 6.7 0 0 1 1
"533" 10000 176 57 21.2 0 0 1 1
"534" 3665 168 57 10.6 1 1 1 1
"535" 1237 170 59 11.8 1 1 1 0
"536" 5300 182 40 7.8 1 0 1 1
"537" 2640 173 35 2.3 0 1 1 1
"538" 4995 182 38 8.5 1 0 1 1
"539" 1090 174 60 12.1 1 1 1 0
"540" 3150 180 38 16.4 1 0 1 0
"541" 322 164 38 2.3 1 1 1 1
"542" 2932 173 49 26.9 1 0 1 0
"543" 2850 170 53 29.5 0 0 1 0
"544" 320 165 35 1.3 1 1 1 0
"545" 3800 185 34 16.8 1 0 1 0
"546" 2930 185 49 20.2 1 0 1 0
"547" 3350 180 48 28 1 0 1 0
"548" 1550 171 47 10.4 1 1 1 0
"549" 2551 190 34 5.3 0 0 1 0
"550" 1500 176 32 4.2 0 1 1 0
"551" 3248 163 31 12 1 1 1 0
"552" 225 168 56 6.6 1 1 1 0
"553" 3200 186 43 5.8 1 0 1 0
"554" 325 163 39 6.8 1 1 1 0
"555" 2350 184 43 23.6 1 0 1 0
"556" 650 180 23 3.9 0 1 1 0
"557" 2650 180 40 15.8 1 0 1 0
"558" 1300 163 40 7 1 1 1 0
"559" 400 160 48 12.3 1 1 1 0
"560" 2672 182 58 34.5 1 0 1 1
"561" 4000 180 32 13.4 1 0 1 0
"562" 3000 178 42 9.7 0 0 1 1
"563" 1750 172 37 4.1 0 1 1 1
"564" 3790 184 47 16.6 1 0 1 1
"565" 2046 170 44 24.9 1 1 1 0
"566" 7400 185 46 10.4 1 0 1 0
"567" 12500 178 35 11.5 1 0 1 1
"568" 1950 178 62 28.3 1 0 1 1
"569" 2800 170 44 20.5 1 1 1 0
"570" 3757 164 41 1.5 1 1 1 1
"571" 3600 184 41 4.7 1 0 1 1
"572" 4710 188 53 0.6 1 0 1 1
"573" 1850 168 42 1.8 1 1 1 1
"574" 3900 180 47 9.3 1 0 1 1
"575" 2600 190 52 0.8 0 0 1 1
"576" 4045 182 51 15.6 1 0 1 1
"577" 3068 190 36 13.5 0 0 1 1
"578" 2200 190 34 12 0 0 1 0
"579" 2300 171 38 0.7 0 1 1 0
"580" 2710 192 37 2.8 1 0 1 1
"581" 2620 170 32 2.7 0 1 1 1
"582" 1350 163 33 4.3 1 1 1 1
"583" 2000 157 56 22.4 1 1 1 0
"584" 2630 172 38 2.7 0 1 1 1
"585" 1124 163 36 0.5 0 1 1 1
"586" 4250 180 43 10.8 0 0 1 1
"587" 3280 183 59 3.8 0 0 1 0
"588" 4728 170 49 3.1 0 1 1 1
"589" 3593 168 49 2.1 0 1 1 1
"590" 2400 187 50 3.6 1 0 1 0
"591" 3310 170 47 10.5 0 1 1 1
"592" 3025 183 37 2.1 0 0 1 1
"593" 3016 172 44 12.3 1 0 1 0
"594" 3900 176 49 14.6 0 0 1 1
"595" 1738 165 50 0.7 0 1 1 1
"596" 1240 185 42 12 0 0 1 0
"597" 2900 166 41 4.6 0 1 0 0
"598" 3500 180 36 1.4 0 0 1 0
"599" 2450 164 38 6.3 0 1 1 0
"600" 3032 186 39 14.6 0 0 1 0
"601" 572 172 36 5.9 0 1 1 0
"602" 2500 168 40 16.8 0 0 1 0
"603" 2300 160 46 19.7 1 1 1 0
"604" 500 174 37 9.9 1 1 1 1
"605" 435 165 58 5.8 1 1 1 0
"606" 3000 183 37 0 1 0 1 0
"607" 600 170 35 16 1 1 1 0
"608" 3800 172 56 4.3 1 0 1 1
"609" 3800 160 55 30.1 1 1 1 1
"610" 3130 175 35 1 0 1 1 1
"611" 4000 185 34 2.7 0 0 1 1
"612" 3580 182 40 4.8 1 0 1 1
"613" 5850 188 39 14.7 1 0 1 0
"614" 7500 170 53 35 1 0 1 0
"615" 5000 174 35 15.7 0 0 1 0
"616" 766 162 24 0.4 0 1 1 1
"617" 3681 173 32 3.4 0 1 1 0
